id,name,type,age,year,sector,company,regisseur,genre,country
go,Gary Oldman,1,,,8,,,,
nbdsb,Nobodys Baby,2,43,2001,1,Nu Image,David Seltzer,,
hannibal,Hannibal,2,43,2001,1,Metro Goldwyn Mayer,Ridley Scott,,
friends,Friends,2,43,2001,2,Warner Bros Televisions,James Burrows,,
ist,Interstate 60,2,44,2002,1,Seven Arts Entertainment,Bob Gale,,
gtb,Greg the Bunny,2,44,2002,2,20th Century Fox,Carlton Cuse,,
btd,Beat the Devil,2,44,2002,1,Romulus Films,Tony Scott,,
tiptoes,Tiptoes,2,44,2002,1,StudioCanal,Matthew Bright,,
moh,Medal of Honor,2,45,2003,6,Dream Works,,,
tcsola,True Crime Streets of LA,2,45,2003,6,Activision,,,
sin,Sin Der Tod hat kein Gewissen,2,45,2003,1,Singular Pictures,Michael Stevens,,
wk,Whos Kyle,2,46,2004,1,,Gerald Emerick,,
batbeg,Batman Begins,2,47,2005,1,Warner Bros Pictures,Christopher Nolan,,
df,Dead Fish,2,47,2005,1,,Charley Standler,,
bwoods,Backwoods Die Jagd beginnt,2,48,2006,1,Filmax International,Koldo Serra,,
legendnb,The Legend of Spyro A New Beginning,2,48,2006,6,Vivendi Universal Games,,,
legenden,The Legend of Spyro The Eternal Night ,2,49,2007,2,Krome Studios,,,
legendten,The Legend of Spyro The Eternal Night,2,49,2007,6,Vivendi Universal Games,,,
tdn,The Dark Night,2,50,2008,1,Warner Bros Pictures,Christopher Nolan,,
legenddotd,The Legend of Spyro Dawn of the Dragon ,2,50,2008,6,Vivendi Universal Games,,,
cod,Call of Duty Worlds at War,2,50,2008,6,Infinity Ward Treyarch Sledgehammer Games,,,
gt,Gothman Tonight,2,50,2008,2,,Christopher Nolan,,
unborn,The Unborn,2,51,2009,1,Platinum Dunes,David S Goyer,,
dngs,Do Not Go See The Perfect Sleep,2,51,2009,1,,Jeremy Alter,,
rf,Rain Fall,2,51,2009,1,3 Dogs and a Pony,Max Mannix,,
fwvs,Frohe Weihnachten von Scrooge,2,51,2009,1,,Robert Zemeckis,,
planet,Planet 51,2,51,2009,1,Skydance Animation Madrid,Jorge Blanco,,
boe,The Book of Eli,2,52,2010,1,Alcon Entertainment,Albert Hughes,,
codbo,Call of Duty Black Ops,2,52,2010,6,Infinity Ward Treyarch Sledgehammer Games,,,
btc,Behind the Carol,2,52,2010,1,,Robert Zemeckis,,
rrh,Red Riding Hood ,2,53,2011,1,Warner Bros Pictures,Catherine Hardwicke,,
kfp,Kung Fu Panda 2,2,53,2011,1,Dream Works Animation,Jennifer Yuh Nelson,,
ttss,Tinker Tailor Soldier Spy,2,54,2012,1,Studio Canal,Tomas Alfredson,,
lless,Lawless,2,54,2012,1,Annapurna Pictures,John Hillcoat,,
tdnr,The Dark Night Rises,2,54,2012,1,Warner Bros Pictures,Christopher Nolan,,
gag,Guns and Girls,2,54,2012,1,Freefall Films,Michael Winnick,,
tnd,David Bowie The Next Day,2,55,2013,5,Columbia Records,Floria Sigismondi,,
paranoia,Paranoia,2,55,2013,1,Global Road Entertainment,Robert Luketic,,
lpm,La Petite Mort,2,55,2013,1,,Alex Prager,,
rc,RoboCop,2,56,2014,1,Orion Pictures Corporation,Paul Verhoeven,,
pdar,Planet der Affen Revolution,2,56,2014,1,20th Century Fox,Matt Reeves,,
kind,Kind 44,2,57,2015,1,Summit Entertainment,Daniel Espinosa,,
md,Man Down,2,57,2015,1,Krannel Pictures,Dito Montiel,,
ld,Lego Dimensions,2,57,2015,6,TT Games,,,
djp,Das Jerico Projekt,2,58,2016,1,Nu Image,Ariel Vromen,,
dssn,Den Sternen so nah,2,59,2017,1,Huayi Brothers,Peter Chelsom,,
kb,Killers Bodyguard,2,59,2017,1,Nu Image,Patrick Hughes,,
dds,Die dunkelste Stunde,2,59,2017,1,Working Title Films,Joe Wright,,
thb,The Hitmans Bodyguard,2,59,2017,1,Nu Image,Patrick Hughes,,
hk,Hunter Killer,2,60,2018,1,Nu Image,Donovan Marsh,,
tau,Tau,2,60,2018,1,Kaos Theory Entertainment,Frederica D alessandro,,
ka,Killers Anonymous,2,61,2019,1,Posterity Pictures,Martin Owen,,
ship,The Ship ,2,61,2019,1,Tucker Tooley Entertainment,Michael Goi,,
dg,Die Geldwaescherei,2,61,2019,1,Netflix,Steven Soderbergh,,
tc,The Courier,2,61,2019,1,FilmNation Entertainment,Zackary Adler,,
twitw,The Woman in the Window,2,62,2020,1,Netflix,Joe Wright,,
apatd,A Place Among the Dead,2,62,2020,1,Miss Juliet Productions,Juliet Landau,,
mank,Mank,2,62,2020,1,Netflix,David Fincher,,
crs,Chrisis,2,63,2021,1,Bideford Productions,Nicholas Jarecki,,
kbt,Killers Bodyguard 2,2,63,2021,1,Nu Image,Patrick Hughes,,
sh,Slow Horses,2,64,2022,1,See-Saw Films,,,
us,Jack White Unstaged ,2,54,2012,5,American Express,Gary Oldman,,
tpb,The Patience Bossa,2,46,2004,5,,Gary Oldman,,
nu,Nu Image,,,,9,,,,
mgm,Metro Goldwyn Mayer,,,,9,,,,
wbt,Warner Bros Televisions,,,,9,,,,
sae,Seven Arts Entertainment,,,,9,,,,
thc,20th Century Fox,,,,9,,,,
romulus,Romulus Films,,,,9,,,,
stca,StudioCanal,,,,9,,,,
dw,Dream Works,,,,9,,,,
activision,Activision,,,,9,,,,
singpic,Singular Pictures,,,,9,,,,
wbp,Warner Bros Pictures,,,,9,,,,
fmax,Filmax International,,,,9,,,,
vug,Vivendi Universal Games,,,,9,,,,
krome,Krome Studios,,,,9,,,,
infward,Infinity Ward Treyarch Sledgehammer Games,,,,9,,,,
platinum,Platinum Dunes,,,,9,,,,
dogspony,3 Dogs and a Pony,,,,9,,,,
skydance,Skydance Animation Madrid,,,,9,,,,
alcon,Alcon Entertainment,,,,9,,,,
dwa,Dream Works Animation,,,,9,,,,
annapurna,Annapurna Pictures,,,,9,,,,
freefall,Freefall Films,,,,9,,,,
cr,Columbia Records,,,,9,,,,
gre,Global Road Entertainment,,,,9,,,,
opc,Orion Pictures Corporation,,,,9,,,,
summit,Summit Entertainment,,,,9,,,,
krannel,Krannel Pictures,,,,9,,,,
ttg,TT Games,,,,9,,,,
huab,Huayi Brothers,,,,9,,,,
wtf,Working Title Films,,,,9,,,,
kte,Kaos Theory Entertainment,,,,9,,,,
posterity,Posterity Pictures,,,,9,,,,
tte,Tucker Tooley Entertainment,,,,9,,,,
netflix,Netflix,,,,9,,,,
fne,Film Nation Entertainment,,,,9,,,,
mjp,Miss Juliet Production,,,,9,,,,
bp,Bideford Productions,,,,9,,,,
ssf,See-Saw Films,,,,9,,,,
ae,American Express,,,,9,,,,
ds,David Seltzer,,,,8,,,,
rs,Ridley Scott,,,,8,,,,
jb,James Burrows,,,,8,,,,
bg,Bob Gale,,,,8,,,,
cc,Carlton Cuse,,,,8,,,,
ts,Tony Scott,,,,8,,,,
mb,Matthew Bright,,,,8,,,,
ms,Michael Stevens,,,,8,,,,
ge,Gerald Emerick,,,,8,,,,
cn,Christopher Nolan,,,,8,,,,
cs,Charley Standler,,,,8,,,,
ks,Koldo Serra,,,,8,,,,
dsg,David S Goyer,,,,8,,,,
ja,Jeremy Alter,,,,8,,,,
mm,Max Mannix,,,,8,,,,
rz,Robert Zemeckis,,,,8,,,,
jbl,Jorge Blanco,,,,8,,,,
ah,Albert Hughes,,,,8,,,,
ch,Catherine Hardwicke,,,,8,,,,
jyn,Jennifer Yuh Nelson,,,,8,,,,
ta ,Tomas Alfredson,,,,8,,,,
jh,John Hillcoat,,,,8,,,,
mw,Michael Winnick,,,,8,,,,
fs,Floria Sigismondi,,,,8,,,,
rl,Robert Luketic,,,,8,,,,
ap,Alex Prager,,,,8,,,,
pv,Paul Verhoegen,,,,8,,,,
mr,Matt Reeves,,,,8,,,,
de,Daniel Espinosa,,,,8,,,,
dm,Dito Montiel,,,,8,,,,
av,Ariel Vromen,,,,8,,,,
pc,Peter Chelsom,,,,8,,,,
ph,Patrick Hughes,,,,8,,,,
donm,Donovan Marsh,,,,8,,,,
fda,Frederica D alessandro,,,,8,,,,
mo,Martin Owen,,,,8,,,,
mg,Michael Goi,,,,8,,,,
sso,Steven Soderbergh,,,,8,,,,
za,Zackary Adler,,,,8,,,,
jw,Joe Wright,,,,8,,,,
jl,Juliet Landau,,,,8,,,,
dfin,David Fincher,,,,8,,,,
nj,Nicholas Jarecki,,,,8,,,,
